case,T,N,width,NRMSE_Mean,NRMSE_Std
case6,16,400,16,0.4692338577748111,0.0479609191177998
case6,16,400,32,0.39880355530385636,0.0202732678687682
case6,16,400,64,0.34954377073888176,0.018028541257908665
case6,16,400,128,0.3530348794778796,0.023185307143249376
case6,16,400,256,0.3624827891502564,0.025368051804185877
