case,T,N,L,NRMSE_Mean,NRMSE_Std
case6,16,400,1,0.40181882633405713,0.047055695934322204
case6,16,400,2,0.347992099638162,0.016103069011433224
case6,16,400,3,0.348583666801345,0.021457133667803854
case6,16,400,4,0.3654241454556179,0.03191614784681191
case6,16,400,5,0.3706852430224378,0.030352831999544812
