"method","config","response","nrmse_mean","nrmse_std"
"BNTR","T32_n200","y1",1.06429902155091,0.323812348702407
"BNTR","T32_n200","y2",1.40295160004771,0.137192937503657
"BNTR","T32_n200","y3",0.590740203339276,0.0212265986347787
"BNTR","T32_n200","y4",0.903594789795363,0.137925477283232
"BNTR","T32_n200","y5",1.29585655429122,0.267776138512761
"BNTR","T32_n200","y6",1.00212356714498,0.00434625643137549
"BNTR","T32_n400","y1",0.524278037490392,0.140657742142739
"BNTR","T32_n400","y2",0.52186459524635,0.121258128625103
"BNTR","T32_n400","y3",0.371551845591541,0.0108832982376994
"BNTR","T32_n400","y4",0.724232289452068,0.201321690754572
"BNTR","T32_n400","y5",0.576124065165649,0.254656800890204
"BNTR","T32_n400","y6",0.620503556945557,0.115396609494931
