T,p,n_total,M,run_time_sec
32,10,200,4,2.270988941192627
32,10,200,6,2.8595097064971924
32,10,200,8,5.2440619468688965
32,10,400,4,2.634265899658203
32,10,400,6,3.685817241668701
32,10,400,8,8.166548013687134
32,10,800,4,4.021358966827393
32,10,800,6,6.2522969245910645
32,10,800,8,13.163456916809082
