T,p,run_time_sec
32,10,2.9791998863220215
32,50,10.726575136184692
32,100,20.0136878490448
64,10,12.177016258239746
64,50,51.01131796836853
64,100,100.7930018901825
128,10,36.76023507118225
128,50,176.77059602737427
128,100,354.70847511291504
